xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
-3.57,5.38,-7.65,-12.7,123.11,-108.58,fall
-2.73,5.61,-7.19,-16.42,114.32,-97.35,fall
-4.13,5.9,-7.42,-14.71,108.4,-87.28,fall
-2.01,6.29,-7.45,-11.05,102.23,-80.02,fall
-1.36,5.42,-7.55,-9.52,107.6,-74.4,fall
-2.5,4.87,-7.34,-5.86,108.46,-71.72,fall
-4.63,3.82,-6.54,2.08,96.31,-68.12,fall
-2.89,10.13,-7.05,0.24,79.22,-50.78,fall
0.6,7.38,-5.8,-0.18,80.08,-60.67,fall
-2.91,8.66,-7.73,-0.18,74.52,-68.6,fall
0.11,8.53,-6.45,2.14,69.76,-62.07,fall
1.1,7.52,-6.12,-3.23,88.26,-65.55,fall
0.4,7.08,-5.71,-7.75,100.52,-65.06,fall
-1.1,7.07,-6.07,-11.66,106.75,-77.88,fall
-0.84,6.96,-6.5,-13,108.89,-87.28,fall
-1.56,7.28,-7.34,-10.86,108.95,-85.69,fall
-2.62,6.59,-7.2,-7.51,99.91,-79.16,fall
-3.19,5.93,-7.02,-2.75,88.93,-74.65,fall
-3.17,5.36,-6.41,0.12,75.62,-69.27,fall
-2.22,3.92,-5.82,7.32,65.49,-62.19,fall
-1.92,3.2,-5.16,23.19,60.12,-61.34,fall
-1.32,8.38,-5.13,35.95,57.25,-56.58,fall
-4.14,9.91,-9.84,28.38,59.51,-56.64,fall
0.32,6.6,-5.6,15.01,46.39,-55.97,fall
-4.18,7.2,-6.9,14.89,54.44,-37.96,fall
-6.95,8,-7.69,13.73,28.08,-24.35,fall
-3.18,6.71,-6.99,6.84,-5.49,-9.64,fall
-2.23,6.18,-6.34,11.17,-6.41,-2.5,fall
-4.51,5.78,-6.19,9.77,-20.63,17.21,fall
-4.76,4.86,-6.99,9.58,-40.16,35.52,fall
-3.2,4.39,-7.33,21.73,-57.01,55.91,fall
-2.71,4.69,-6.72,27.16,-67.99,73,fall
-3.65,5.09,-7.15,28.44,-73.55,78.92,fall
-3.16,11.33,-8.01,12.33,-89.6,89.29,fall
3.71,8.87,-9.68,4.58,-95.03,106.69,fall
-3.29,7,-8.86,8.3,-88.32,98.51,fall
0.93,6.03,-8.24,5.86,-110.47,112.3,fall
1.77,5.29,-7.16,4.15,-104.8,113.83,fall
0.22,4.66,-6.58,3.97,-103.03,107.97,fall
-0.01,4.59,-7.25,6.77,-106.81,99.61,fall
0.41,4.4,-7.47,11.29,-108.76,90.76,fall
1.78,4.45,-7.98,22.4,-107.24,84.23,fall
3.5,4.84,-8.5,34.36,-92.47,74.65,fall
5.41,6,-6.69,42.05,-63.48,59.27,fall
-1.2,9.95,-7.13,15.38,-54.87,49.26,fall
-5.28,7.95,-9.47,16.6,-52.31,69.7,fall
4.02,7.42,-7.29,3.42,-79.22,80.87,fall
-3.94,6.33,-5.94,5.43,-49.68,56.15,fall
-4.98,5.49,-6.74,7.2,-81.97,62.13,fall
-1.86,5.33,-6.2,8.91,-97.53,68.18,fall
-1.68,5.99,-7.44,9.52,-99.91,84.66,fall
-2.1,6.6,-8.48,11.9,-104.55,95.89,fall
-1.12,6.36,-8.35,14.4,-109.13,96.07,fall
-0.31,6.63,-8.13,10.5,-108.22,89.9,fall
0.55,6.35,-7.67,5.07,-100.28,84.66,fall
1.97,5.21,-6.61,2.81,-87.28,80.81,fall
1.17,4.91,-6.77,8.36,-66.71,73.36,fall
0.92,4.49,-6.99,18.43,-53.47,68.54,fall
0.17,4.03,-7.31,32.41,-45.41,72.94,fall
-3.5,12.4,-4.2,30.88,-52.73,93.51,fall
-0.32,10.89,-8.42,1.22,-59.33,96.62,fall
-3.91,7.95,-8.13,-0.85,-84.59,79.04,fall
1.84,8.07,-6.99,-1.22,-94.24,65.8,fall
2.49,6.33,-4.63,-11.29,-70.74,73,fall
0.3,5.68,-4.22,-21.91,-61.65,76.9,fall
0.49,5.75,-6.06,-20.02,-57.19,61.22,fall
1.84,6.53,-6.6,-12.82,-47.73,36.56,fall
1.84,7.17,-6.55,-14.04,-34.61,25.39,fall
1.67,6.78,-6.14,-17.27,-25.7,26.18,fall
1.26,5.82,-6.25,-17.27,-15.26,26.61,fall
0.9,5.66,-6.22,-13.73,-7.57,24.96,fall
0.6,7.56,-6.71,-12.08,-4.46,4.09,fall
1.89,8.22,-8.34,-15.87,0.85,-12.21,fall
0,18.92,-7.31,-23.99,14.22,-25.51,fall
-1.21,9.81,-5.61,-27.59,6.59,-26.98,fall
1.94,8.83,-3.09,-27.89,19.41,-57.86,fall
-3.28,7.58,-3.99,-19.47,31.92,-55.79,fall
-5.13,7.95,-3.78,-19.47,8.79,-47.3,fall
-3.16,5.77,-3.62,-19.65,-8.61,-21.61,fall
-2.35,4.44,-3.7,-7.93,-22.22,-6.77,fall
-0.86,3,-2.86,8.12,-22.77,-4.64,fall
-3.05,1.58,-1.81,33.08,-21.61,-17.94,fall
-1.59,-0.42,-1.44,64.33,-21.67,-32.96,fall
0.66,0.4,0.47,81.18,-20.94,-10.93,fall
-2.37,4.16,0.81,28.87,-46.94,55.05,fall
-3.57,6.83,-4.56,-54.63,-72.57,131.35,fall
13.69,17.66,-8.05,-91.98,24.05,72.14,fall
13.52,19.24,-9.34,-120.73,142.21,-111.82,fall
-19.59,39.17,-11.33,-195.19,164.92,-125.61,fall
-15.51,11.91,-17.5,-260.86,2.38,-146.42,fall
0.35,-0.59,-13.6,-237.18,-114.07,-74.28,fall
-0.56,-2.92,-6.1,-211.36,-98.02,104.61,fall
2.42,-8.48,-5.97,-205.32,-36.07,86.12,fall
0.61,-13.77,1.94,-147.83,-6.41,-18.13,fall
1.65,-6.35,5.66,-123.47,-33.26,-24.54,fall
-8.3,-6.09,16.72,-6.9,3.17,-0.43,fall
7.61,8.77,13.78,182.98,23.07,-42.3,fall
-16.68,19.32,33.96,120.42,-2.87,-46.75,fall
-7.57,21.05,23.54,13.92,-5.49,-16.78,fall
-3.18,10.4,4.74,-42.6,-2.99,0.37,fall
0.06,2.06,2.94,-34.85,-1.89,18.25,fall
-1.38,-1.45,4.91,-9.77,-1.46,22.77,fall
0.89,-0.13,5.24,10.68,5.19,8.97,fall
-0.67,3.6,7.27,14.53,23.19,-11.96,fall
-4.2,9.35,7.63,7.93,21.79,-15.01,fall
-5.64,10.62,8.39,-4.09,7.93,-13.67,fall
-5.4,9.61,7.49,-10.74,-4.58,-6.35,fall
-3.15,6.37,4.89,-4.82,-7.63,-4.21,fall
-1.84,7.06,4.41,2.99,-4.58,0.18,fall
-1.21,7.23,4.23,4.27,0.55,1.04,fall
-2.7,7.78,5.12,1.46,4.27,-1.65,fall
-2.86,6.37,7.4,4.33,-4.27,-2.08,fall
-2.15,6.67,8.68,5.74,-3.91,-3.23,fall
-1.79,6.77,8.26,-3.23,-2.08,-3.72,fall
-2.28,6.93,5.72,-3.97,5,2.32,fall
-3.33,8.13,4.78,-4.88,14.16,0.85,fall
-4.34,7.6,5.65,-0.61,6.23,-6.9,fall
-3.88,7.07,6.32,1.28,-0.12,-5.13,fall
-3.65,6.48,7.1,0.85,-2.38,-0.98,fall
-3.25,6.44,7.35,-1.95,-8.36,-1.59,fall
-2.53,7.24,7.37,-5.37,-10.56,-0.92,fall
-1.04,5.86,5.15,-6.96,-1.28,-5.31,fall
-2.77,7.58,5.35,0.85,-3.6,-3.48,fall
-3.7,7.04,5.75,6.96,0.12,-0.85,fall
-3.04,7.85,6.96,4.21,-3.85,0.31,fall
-2.34,7.23,6.56,-0.85,-2.14,-5.13,fall
-2.71,6.78,6.48,-1.04,1.59,-5.25,fall
-2.56,6.67,6.52,-0.18,3.85,-0.98,fall
-2.03,7.08,6.57,0.24,7.14,2.26,fall
-2.41,7.21,6.67,-1.77,12.27,0.98,fall
-2.95,6.87,6.71,-4.58,13.37,-4.64,fall
-2.54,7.6,7.07,-7.45,17.58,-11.23,fall
-1.65,10.38,8.32,-10.19,35.4,-24.66,fall
-1.22,11.75,9.31,-45.53,46.2,-31.01,fall
-3.96,8.47,8.04,-72.75,43.27,-2.69,fall
-3.97,3.39,6.88,-60.85,61.52,-1.46,fall
-3.39,2.81,5.88,-43.15,63.35,9.95,fall
-4.18,1.39,2.88,-24.17,64.09,4.64,fall
-2.72,2.35,2.62,-10.13,58.11,-8.67,fall
-1.35,2.14,2.06,-5.55,59.2,-3.97,fall
-5.17,4.45,3.24,1.28,70.13,-1.65,fall
-10.4,7.77,3.09,1.46,54.81,5.49,fall
-17.38,8.63,5.88,-0.98,30.7,8.12,fall
-13.54,7.44,7.86,-18.43,-23.86,15.2,fall
-5.94,5.52,5.3,-18.55,-30.33,9.52,fall
-4.63,3.83,5.46,-1.1,-7.63,-3.36,fall
-5.9,3.51,5.15,7.57,-10.44,0.18,fall
-5.78,4.6,4.91,12.27,-16.85,2.75,fall
-6.59,5.52,5.62,12.33,-22.34,7.87,fall
-6.07,5.79,7.23,1.53,-36.8,14.65,fall
-4.24,5.17,7.96,1.22,-37.11,9.89,fall
-3.15,6,7.65,5.8,-12.94,-4.76,fall
-3.62,6.35,6.65,1.4,7.26,-6.1,fall
-4.05,6.16,6.68,-7.51,12.08,-1.65,fall
-4.72,5.28,6.5,-11.9,16.66,2.87,fall
-5.95,5.1,6.25,-9.95,21.12,7.08,fall
-5.82,4.81,6.49,-6.53,16.72,9.34,fall
-6.29,4.79,6.19,6.84,21.91,9.09,fall
-7.86,4.35,5.73,27.65,24.54,14.1,fall
-8.4,4.9,6.19,48.46,8.54,19.29,fall
-8.79,5.97,5.28,60.06,-6.9,24.23,fall
-6.98,6.61,4.49,57.07,-23.8,29.6,fall
-6.23,7.12,4.19,51.09,-34.61,29.79,fall
-4.69,6.93,4.92,51.39,-33.75,25.51,fall
-5.02,8.1,5.11,51.15,-26.98,22.77,fall
-4.83,8.67,4.72,42.11,-29.85,21.36,fall
-4.1,8.99,4.61,32.84,-34.79,22.89,fall
-2.92,9.19,4.04,23.19,-32.47,20.26,fall
-1.61,8.37,4.11,18.37,-24.84,12.21,fall
-2.68,8.36,4.5,21.91,-10.01,2.08,fall
-3.81,8.5,4.19,15.93,-12.51,5.25,fall
-2.75,8.3,4.3,15.56,-16.78,7.08,fall
-3.03,8.4,3.96,15.26,-16.85,1.89,fall
-2.82,8.64,3.43,14.47,-18.86,-1.22,fall
-2.53,8.42,3.53,12.63,-20.81,-0.73,fall
-2.65,8.24,2.54,7.26,-18.13,-3.42,fall
-1.85,7.88,1.67,-2.99,-19.17,-4.46,fall
-1.29,7.23,1.49,-9.77,-17.58,-5.19,fall
-1.94,6.69,1.69,-13.79,-15.01,-0.12,fall
-3.03,6.28,2.69,-6.16,-15.08,12.88,fall
-2.65,7.45,3.32,1.77,-11.17,23.8,fall
-1.82,8.28,2.12,-7.81,-0.24,17.15,fall
-1.51,9.1,2.34,-9.09,3.05,2.99,fall
-1.08,9.29,0.06,-46.33,19.71,-20.26,fall
-2.14,7.17,0.43,-75.68,16.05,-34.73,fall
-2.78,7.3,1.98,-103.15,-14.28,-41.14,fall
-4.23,8.29,7.78,-130.86,-54.32,-38.02,fall
0.16,8.53,14.57,-76.6,-45.9,-77.64,fall
-5.34,6.66,19.62,22.58,-38.33,-28.75,fall
-3.82,2.37,13.76,46.69,14.53,13.37,fall
-2.34,4.9,6.54,30.21,16.85,7.02,fall
-0.88,6.39,3.33,5.55,1.77,7.39,fall
-2.8,6.01,4.36,-4.15,18.25,-7.45,fall
-6.09,5.82,6.29,-14.95,9.7,4.09,fall
-4.56,6.19,8.12,-13.98,-12.21,15.93,fall
-2.43,6.37,8.61,-0.31,-6.59,8.79,fall
-2.8,7.66,6.66,7.08,-0.61,-1.4,fall
-2.44,7.62,5.4,3.17,-2.14,-6.53,fall
-3.29,6.63,5.82,-0.37,-0.31,-2.26,fall
-3.22,6.29,6.74,1.59,-1.4,2.32,fall
-3.01,6.26,7.45,4.82,-3.05,-0.31,fall
-2.65,6.39,7.53,4.46,-3.05,-3.36,fall
-2.88,6.61,7.23,1.77,-0.12,-2.62,fall
-2.98,6.58,6.9,-2.14,0.12,-1.28,fall
-2.99,6.53,6.92,-3.54,0.67,-1.16,fall
-2.89,6.54,6.73,-2.87,0.12,-1.04,fall
-2.95,6.53,6.64,-1.1,1.16,-0.85,fall
-2.98,6.66,6.67,-0.55,0.98,-0.37,fall
-2.97,6.55,6.9,-1.65,0.67,0.12,fall
-2.97,6.49,7,-1.65,1.53,1.1,fall
-3.09,6.42,7.09,-2.2,2.32,0.43,fall
-2.96,6.37,6.92,-1.22,2.01,0.79,fall
-3.07,6.41,6.84,0.18,2.08,0.37,fall
-3.22,6.3,6.95,1.04,0.92,-0.43,fall
-3.27,6.38,6.96,0.18,0.18,-0.85,fall
-3.4,6.34,7.03,-0.61,-0.73,-2.81,fall
-3.22,6.65,6.9,-0.79,-1.89,-2.26,fall
-2.74,6.62,6.63,-1.53,-1.89,-0.92,fall
-2.98,6.33,6.84,0.43,-0.24,-2.26,fall
-3.18,6.31,7.04,2.01,-1.4,-2.14,fall
-3.66,6.3,7.3,4.76,-3.66,-0.55,fall
-3.92,6.86,7.21,7.93,-10.99,6.77,fall
-4.2,6.34,7.38,6.53,-16.6,4.39,fall
-4.36,5.59,6.04,5.37,-28.56,5.49,fall
-2.65,5.63,6.55,11.05,-34.18,7.51,fall
-0.26,6.49,7.56,19.59,-25.21,-2.14,fall
-2.79,6.81,7.19,20.57,-10.86,-1.89,fall
-2.56,7.22,7.03,19.65,-21,10.31,fall
-1.58,7.38,6.8,13.37,-18.98,16.91,fall
-0.47,7.52,6.18,7.39,-12.82,13.98,fall
-0.83,7.23,6.2,10.19,-7.93,14.04,fall
-1.74,7.05,6.28,12.76,-7.39,19.78,fall
-2.12,7.41,5.99,12.39,-13.31,27.47,fall
-1.78,7.49,6.35,9.28,-22.46,34.79,fall
-1.59,7.85,6.32,4.27,-25.45,39.67,fall
-1.96,7.95,6.8,0.79,-31.01,35.89,fall
-2.83,6.96,6.18,-1.53,-48.16,29.85,fall
0.62,7.32,5.4,2.69,-66.53,24.6,fall
3.79,7.58,5.94,4.94,-54.14,12.27,fall
3.51,7.09,5.81,5.13,-43.46,7.08,fall
3.99,7.63,5.51,3.05,-35.71,9.28,fall
3.94,7.43,5.8,2.5,-21.67,8.54,fall
3.74,7.64,5.83,1.1,-12.88,9.64,fall
2.41,7.39,5.68,4.52,-11.96,13.49,fall
2.11,7.39,6.05,6.16,-13.49,16.3,fall
2.24,7.24,6.06,6.04,-14.71,14.34,fall
2.35,7.26,5.75,7.69,-14.1,13.61,fall
2.51,7.45,5.52,8.18,-13.98,12.33,fall
3.09,7.67,5.34,6.65,-15.5,8.3,fall
3.32,7.64,5.4,4.7,-15.81,5.68,fall
3.56,7.4,5.38,1.4,-14.34,3.05,fall
3.53,7.35,5.42,4.88,-14.53,1.1,fall
3.85,7.35,5.35,8.79,-15.5,1.83,fall
4.16,7.28,5.01,9.09,-14.22,6.23,fall
3.93,7.61,4.59,5.55,-8.97,7.75,fall
3.61,7.58,4.32,3.36,-11.29,9.4,fall
4.23,7.44,5.01,5.07,-11.9,9.95,fall
4.71,7.19,5.08,4.09,-4.76,1.28,fall
4.58,7.23,4.5,5.74,-4.52,-0.37,fall
4.59,7.42,4.77,6.71,-0.24,-1.1,fall
4.37,7.35,4.58,9.83,1.28,1.77,fall
3.65,7.81,4.5,8.54,3.6,8,fall
3.29,7.82,4.32,4.64,2.81,9.46,fall
3.55,7.79,4.34,-1.1,1.04,7.08,fall
4.11,7.27,4.51,-5.25,0.31,4.15,fall
4.37,7.48,4.66,-4.82,-0.85,5,fall
4.28,7.51,4.91,-2.93,-1.95,2.01,fall
4.68,7.47,4.91,-4.03,-4.33,-2.26,fall
4.74,7.24,4.8,-4.76,-4.58,-4.88,fall
4.59,7.23,4.66,-4.52,-3.6,-4.46,fall
4.71,7.29,4.57,-3.97,-1.04,-4.33,fall
4.64,7.4,4.56,-3.54,0.85,-5.25,fall
4.58,7.45,4.62,-3.42,2.62,-4.88,fall
4.42,7.33,4.71,-3.05,4.39,-5.68,fall
3.76,6.98,5.15,-0.98,4.39,-5.68,fall
3.73,6.89,5.33,6.35,1.46,-1.89,fall
4.24,7.6,5.39,11.05,3.97,1.89,fall
4.31,7.46,4.8,8.61,3.6,-0.79,fall
4.27,7.67,4.34,3.05,8,-3.23,fall
3.72,7.66,4.03,-1.1,7.51,-3.72,fall
3.79,7.58,4.51,-3.11,6.84,-4.39,fall
4.35,7.56,4.91,-5.13,8.24,-6.29,fall
4.54,7.65,4.92,-6.23,10.86,-9.28,fall
4.14,7.44,4.88,-7.75,11.96,-8.18,fall
3.8,7.19,4.99,-8.85,15.2,-5.98,fall
3.77,7.6,5.2,-9.16,15.38,-6.47,fall
3.02,7.19,5.36,-9.4,14.89,-10.68,fall
3.42,7.47,5.6,-11.35,15.56,-13.98,fall
3.08,7.22,5.66,-13.12,18.43,-13.37,fall
2.92,6.98,5.91,-9.77,18.31,-13.67,fall
2.73,6.77,6.25,-2.81,16.24,-11.6,fall
2.59,7.25,5.95,6.23,12.39,-6.29,fall
2.27,7.44,5.94,7.08,13.43,-2.2,fall
2.22,7.6,6.02,2.81,13.49,-0.43,fall
2.18,7.48,6.01,-0.79,12.27,-1.4,fall
2.22,7.58,6.03,-2.81,12.51,-4.94,fall
1.96,7.39,6.18,-2.14,9.09,-6.29,fall
1.57,7.33,6.61,-3.23,5.13,-6.47,fall
0.97,7.33,6.43,-2.01,-5.31,0.06,fall
1.65,7.58,6.08,-2.01,-8.42,3.05,fall
2.38,7.53,5.94,-2.87,-9.16,1.46,fall
2.6,7.31,5.88,-4.33,-5.43,-3.05,fall
2.49,7.21,5.93,-4.15,-2.14,-3.78,fall
2.6,7.21,6.09,-3.72,-0.24,-4.94,fall
2.81,7.34,6.11,-3.36,1.22,-4.21,fall
3,7.39,6.07,-3.91,3.91,-2.56,fall
3.3,7.88,6.36,-6.9,8.42,1.4,fall
-1.36,6.56,-6.83,-18.31,1.22,2.2,fall
-0.83,6.12,-6.85,-18.98,2.81,-0.43,fall
-1.57,6.17,-7.26,-15.14,6.04,0.18,fall
-1.86,6.41,-6.81,-12.15,0.79,5.37,fall
-1.77,6.35,-6.31,-12.76,-0.92,8.3,fall
-2.19,5.88,-6.17,-10.93,-5.62,10.93,fall
-2.05,5.36,-6.79,-2.08,-9.28,14.53,fall
-2.89,5.16,-7.61,16.66,-13.12,22.77,fall
-0.54,12.62,-8.86,18.37,-23.74,40.83,fall
-0.94,9.95,-6.4,15.08,-12.39,36.19,fall
-2.24,8.46,-5.87,10.56,-31.01,38.76,fall
1.05,7.6,-5.28,10.5,-36.44,40.22,fall
0.21,6.86,-4.97,5.98,-30.33,41.93,fall
0.53,5.86,-4.25,2.38,-30.46,41.38,fall
0.89,6.15,-4.93,-0.06,-27.95,35.71,fall
0.82,5.94,-5.91,1.1,-25.39,26.86,fall
0.56,5.67,-6.39,5,-24.35,20.32,fall
1.02,6.52,-7.19,8.73,-23.86,17.27,fall
2.62,6.76,-8.24,14.1,-15.5,6.65,fall
0.78,6.54,-8.46,25.02,-2.2,-10.86,fall
-1.86,10.32,-10.29,16.05,-7.93,-18.86,fall
0.86,9.41,-4.71,6.53,-11.41,-9.95,fall
0.21,8.17,-6.4,10.56,19.04,-24.23,fall
-2.33,7.43,-6.32,7.2,4.82,-14.77,fall
-1.45,6.37,-5.3,3.23,-4.33,-17.64,fall
-1.01,6.01,-4.55,-1.46,-11.11,-16.36,fall
-1.22,4.8,-4.74,-5.25,-12.02,-10.8,fall
-1.73,4.5,-6.67,-1.46,-12.39,-0.67,fall
0.12,5.67,-7.96,8,-13.67,8.79,fall
-1.41,5.98,-7.77,12.51,-8.18,16.36,fall
-0.91,6.29,-9.76,19.23,-4.09,18.98,fall
-0.11,14.85,-8.52,10.74,0.31,28.08,fall
-3.04,9.99,-4.91,-3.42,7.39,20.02,fall
-2.67,8.86,-7.66,5.31,-12.94,21.91,fall
0.93,7.52,-5.16,4.15,-18.55,26.06,fall
2.33,5.87,-4.53,-1.89,-2.5,23.99,fall
-0.12,4.97,-3.47,-6.23,11.6,10.5,fall
-0.92,4.14,-4.67,-6.9,9.95,2.69,fall
0.54,4.95,-5.77,-1.46,10.8,-4.58,fall
0.74,5.67,-8.06,4.52,16.11,-15.44,fall
1.06,4.82,-9.01,17.21,24.05,-32.35,fall
-0.39,7.16,-8.06,23.5,26.43,-36.32,fall
-10.28,14,-11.94,1.16,16.17,-23.38,fall
0.94,8,-8.12,-14.4,-18.31,-8.91,fall
7.33,8.35,-6.04,6.96,47.12,-33.08,fall
-4.5,7.43,-6.53,-3.36,47.85,-37.9,fall
-3.82,6.35,-6.02,-4.21,31.25,-55.18,fall
-1.16,4.65,-3.75,-3.42,19.59,-45.72,fall
-0.36,4.3,-3.9,-4.09,22.71,-28.38,fall
-3.01,3.51,-5.88,-0.24,25.27,-17.09,fall
-2.79,3.96,-7.29,18.07,14.16,-8.61,fall
-0.66,5.5,-5.69,26.86,9.22,7.39,fall
-1.52,5.73,-6.15,20.26,15.69,8.54,fall
3.12,15.68,-3.91,-10.5,18.01,17.7,fall
-0.73,11.3,-7.99,10.56,63.17,-43.27,fall
-7.45,12.26,-8.99,8.79,21.42,-62.93,fall
9.17,11.07,-7.49,-8.54,50.54,-57.25,fall
2.42,7.17,-8.32,-27.22,113.89,-92.29,fall
-0.57,3.09,-7.43,-21.55,127.14,-109.13,fall
-0.26,1,-5.06,-9.03,137.33,-117.68,fall
0.61,1.01,-5.3,-1.83,143.37,-128.11,fall
-0.52,2.4,-4.83,6.77,143.68,-130.74,fall
-3.99,5.33,-3.9,-8.73,138.49,-128.85,fall
-11.19,15.29,-19.05,-33.69,142.58,-130.25,fall
1.62,9.88,-7.87,-21.55,101.2,-82.7,fall
-0.24,7.62,-8.78,-26.55,139.4,-111.33,fall
-3.16,4.63,-7.01,-33.39,135.74,-128.85,fall
-0.88,5.17,-6.93,-34.06,136.05,-124.76,fall
-2.01,4,-4.99,-39.31,140.38,-97.84,fall
-2.72,4.76,-6.52,-41.87,139.83,-93.2,fall
-3.08,4.51,-7.72,-36.44,137.39,-95.28,fall
