xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
6.8,-4.5,4.05,-2.35,-1.57,0.5,sit
6.8,-4.59,4.07,-2.15,-1.78,-0.12,sit
6.83,-4.54,4.02,-1.93,-1.7,0.21,sit
6.86,-4.53,4.03,-2.12,-1.82,-0.41,sit
6.84,-4.57,4.1,-2.56,-1.47,-0.15,sit
6.87,-4.52,4.12,-2.21,-1.69,-0.26,sit
6.77,-4.52,4.07,-2.54,-1.37,-0.12,sit
6.85,-4.5,4.17,-2.7,-1.22,-0.52,sit
6.78,-4.46,4.03,-2.37,-1.72,0,sit
7.02,-4.58,4.13,-2.4,-1.58,-0.18,sit
6.89,-4.43,4.03,-2.5,-1.86,-0.19,sit
6.88,-4.44,4.02,-3.17,-1.77,-0.38,sit
6.81,-4.55,4.08,-3.15,-0.37,-0.39,sit
6.87,-4.5,4.12,-2.87,-0.95,-0.15,sit
6.94,-4.5,4.02,-3.04,-1.64,-0.63,sit
6.95,-4.44,4.04,-3.16,-1.43,-0.24,sit
6.86,-4.47,3.89,-2.78,-1.92,-0.49,sit
6.94,-4.53,4.09,-1.79,-2.12,-0.58,sit
2.46,-9.64,-0.38,1.46,-43.79,-0.76,sit
2.29,-9.74,-0.74,-2,27.44,-2.36,sit
2.3,-9.84,-1.05,-3.13,7.11,-4.97,sit
1.7,-9.17,-0.78,-4.88,-4.14,-14.71,sit
1.45,-6.94,-0.9,-6.38,18.34,-26.89,sit
1.98,-5.96,-1.67,17.51,35.94,-64.43,sit
3.42,-8.45,0.25,44.15,4.7,-77.51,sit
5.56,-6.97,1.16,53.54,-36.59,-96.44,sit
7.88,-6.44,0.2,55.89,-35,-93.78,sit
12.05,-6.85,1.6,42.63,-13.74,-114.1,sit
9.71,-4.84,1.53,16.63,-63.64,-105.8,sit
11.38,2.22,-1.33,-9.52,-85.91,-106.34,sit
13.18,-1.7,-1.85,15.54,-45.74,-31.1,sit
9.16,0.58,-1.94,-6.92,-69.27,-92.66,sit
9.88,4.12,-5.24,-18,8.77,-59.76,sit
8.46,2.66,-2.09,-18.23,10.26,-41.18,sit
10.92,4.32,-3.53,-22.92,-8.62,-26.21,sit
9.03,4.76,-4.34,-46.16,48.18,-29.73,sit
6.49,4.58,-2.32,-46.87,-4.2,17.66,sit
7.99,4.3,-2.35,-26.76,-66.03,48.79,sit
10.34,2.5,-1.9,-9.88,-25.29,54.87,sit
11.71,1.69,-3.32,5.2,-8.26,49.85,sit
10.22,3.4,-1.43,-11.14,13.13,5.88,sit
9,1.39,-1.49,7.82,30.53,0.08,sit
11.09,1.19,-1.84,4.8,5.79,25.29,sit
9.88,1.4,-1.58,-5.08,-27.75,4.16,sit
8.95,1.2,-1.82,-5.03,14.27,-12.52,sit
9.78,1.19,-1.92,-0.83,-6,-3.85,sit
10.41,1.99,-1.98,4.73,27.29,1.98,sit
10,1.93,-1.51,5.12,-24.91,-13.37,sit
11.28,2.69,-2.24,-16.24,0.12,-10.63,sit
10.24,2.67,-1.48,-24.02,21.52,-12.74,sit
10.51,1.97,-1.67,-26.24,-0.82,-29.22,sit
8.78,2.79,-1.05,-21.85,2.61,-20.63,sit
8.96,1.98,-0.72,-11.22,25.02,-3.47,sit
7.95,2.5,-0.42,13.11,-16.24,-0.25,sit
10.14,3.54,-1.33,11.35,-1.38,2.8,sit
10.1,2.58,1.31,3.85,19.22,3.56,sit
8.5,2.85,-0.53,25.19,8.79,1.61,sit
8.56,3.14,-1.28,-12.95,0.24,7.08,sit
9.7,2.82,-0.28,-1.35,18.46,-1.73,sit
7.49,2.84,-0.41,-3.37,34.72,-1.61,sit
9.94,3.72,-0.42,-12.58,18.27,-0.27,sit
8.12,2.13,0.51,-11.44,65.12,0.09,sit
7.53,3.5,-0.1,-11.54,26.68,-1.16,sit
9.97,3.09,2.51,-1.34,-4.76,-0.37,sit
8.45,2.88,1.72,-2.27,-31.26,-1.6,sit
7.98,2.77,0.96,-0.21,-16.9,-1.4,sit
10.16,3.46,-0.43,-1.54,14.61,7.63,sit
9.16,3.46,-0.11,2.42,-10.29,-2.08,sit
9.38,3.38,0.19,0.14,-6.37,-2.59,sit
10.04,3.64,-2,-19.83,23.07,18.46,sit
8.54,2.1,1.36,-7.21,5.06,-7.47,sit
9.3,2.32,2,6.08,17.82,3.73,sit
7.86,2.95,1.6,8.81,-55.3,-12.35,sit
9.89,3.7,-0.47,1.42,4.92,3.28,sit
8.14,3.22,2.03,-10.51,42.44,3.21,sit
10.24,3.81,-1.17,1.89,-15.46,1.49,sit
10.05,3.28,-0.79,-16.02,13.62,9.48,sit
10.05,2.53,0.14,1.72,-15.01,-0.95,sit
8.94,2.95,-0.1,1.52,-1.56,2.85,sit
9.19,2.92,-0.85,17.32,-9.83,4.2,sit
9.47,3.46,0.06,14.89,15.74,4.32,sit
9.41,3.38,0.28,-3.16,7.06,2.63,sit
9.59,3.03,-0.21,-8.82,-3.17,-0.56,sit
9.25,2.86,-0.23,-7.79,-1.68,-0.02,sit
9.49,2.99,-0.05,-5.51,-3.69,0.64,sit
9.21,2.9,0.15,-5.67,0.92,-0.09,sit
9.36,2.88,0,-1.32,-3.96,-0.02,sit
9.38,2.95,0.01,-2.19,-0.53,3.34,sit
9.42,2.8,-0.05,-1.69,-1.97,2.08,sit
9.46,2.92,-0.2,-1.79,-1.89,2.5,sit
9.67,2.69,0.17,-4.21,-6.24,4.31,sit
9.19,2.44,-0.23,-4.85,12.98,0.12,sit
9.3,2.77,-0.24,-2.56,0.95,-3.25,sit
9.32,3.21,-0.46,-2.78,-24.27,2.76,sit
9.33,3.11,-0.71,-5.19,2.76,1.34,sit
8.93,3.06,-0.47,3.05,-24.7,-7.57,sit
9.97,3.13,-2.08,-3.15,-42.14,15.93,sit
9.1,3.16,-2.22,-5.99,28.14,11.86,sit
9.62,2.79,-1.8,-15.22,41.45,2.53,sit
10.25,2.51,-1.62,-11.56,30.33,-0.05,sit
9.17,2.65,0.07,-11.57,26.6,0.56,sit
8.69,2.81,1.6,1.66,17.08,-8.77,sit
9.42,3.47,0.36,4.15,-19.11,0.44,sit
8.77,2.5,0.61,8.26,-28.31,-9.98,sit
9.15,2.89,-0.86,3.81,-11.26,-0.85,sit
9.7,3.17,-1.48,-1.96,3.76,0.87,sit
9.9,3,-0.89,-2.62,5.76,13.18,sit
9.66,2.89,-0.46,-1.56,12.13,12.56,sit
9.59,2.77,-0.32,0.5,0.45,9.8,sit
9.78,2.39,-0.39,0.32,-3.43,12.3,sit
9.79,2.26,-0.6,3.89,0.39,14.67,sit
9.47,2.07,-0.85,8.09,-4.13,10.49,sit
9.39,1.95,-0.66,7.85,-8.26,1.79,sit
9.59,2.28,-0.25,-3.95,-1.08,1.63,sit
3.48,-10.49,-1.77,37.12,52.44,48.73,sit
1.45,-9.22,-1.52,14.47,31.27,-15.56,sit
4.39,-9.32,-3.3,2.16,-60.66,-6.79,sit
2.49,-9.68,-0.21,-14.73,-23.27,-16.12,sit
4,-9.6,-1.29,-27.22,-4.27,-29.5,sit
4.12,-7.53,-1.7,-30.72,-12.2,-31.5,sit
2.87,-3.85,-1.65,-45.73,-12.47,-63.94,sit
3.39,-5,-2.77,-54.24,-19.75,-129.9,sit
7.41,-8.31,-2.49,-45.83,18.56,-176.41,sit
7.41,-5.34,-2.1,-36.15,49.94,-205.11,sit
10.3,0.28,-5.56,-65.85,-22.98,-155.15,sit
10.92,4.89,-4.28,-108.95,-25.08,-93.02,sit
13.21,5.92,-9.53,-27.86,-60.68,0.34,sit
9.42,4.04,-2.25,-43.43,49.85,14.47,sit
4.15,5.33,-4.39,-12.2,74.18,-0.79,sit
2.66,4.54,-3.02,-4.25,48.45,-19.21,sit
5.66,5.7,0.08,48.27,-9.92,79.58,sit
13.59,5.8,-1.81,37.13,47.98,78.05,sit
7.8,3.7,0.52,6.47,13.69,7.96,sit
8.79,3.28,-3.49,13.04,-14.24,20.85,sit
10.19,3.2,-2.49,5.69,-4.29,12.18,sit
9.75,2.6,-1.47,-10.15,7.94,-0.73,sit
9.53,2.14,-1.91,-15.67,-7.21,3.69,sit
9.32,2.08,-2.51,-5.35,18.17,0.12,sit
10.22,2.04,-2.16,-8.06,-6.05,1.01,sit
9.95,2.56,-1.71,-18.46,-4.73,-4.7,sit
10.24,2.09,-1.72,-21.51,20.37,6.59,sit
9.28,2.55,-1.23,-4.04,4.82,1.18,sit
8.89,2.52,-0.71,8.27,6.47,-11.75,sit
11.39,2.61,-1.79,9.26,-9.31,-2.78,sit
9.6,2.29,-1.01,3.92,-5.51,-9.5,sit
9.66,2.46,-0.79,4.5,-6.89,-2.28,sit
9.66,2.81,-1.06,-1.81,-6.5,-4.14,sit
9.65,2.57,-1.43,-2.81,-1.82,-1.02,sit
9.48,2.61,-1.1,-0.95,-2.69,0.62,sit
10.13,2.55,-1.17,-3.05,-0.29,5.09,sit
10.03,1.57,0.13,-0.02,17.2,14.81,sit
9.17,1.64,0.48,13.96,1.93,-6.21,sit
6.19,3.26,-0.51,2.61,75.18,2.33,sit
9.04,2.38,-2.03,-49.52,-55.72,-13.51,sit
9.21,2.12,0.24,14.67,-43.1,8.24,sit
9.52,2.63,-1.69,8.38,-35.68,3.69,sit
11.36,3.1,-4.45,-3.92,-21.54,8.58,sit
10.89,2.41,-3.68,-3.48,5.9,-0.82,sit
10.25,2.3,-3.48,-3.6,-2.17,-3.97,sit
9.76,2.27,-2.52,-6.73,-3.5,-2.32,sit
10.3,2.78,-2.56,-5.57,3.7,5.29,sit
9.56,2.25,-2.17,-5.21,6.49,1.81,sit
9.58,2.45,-1.75,-5.4,5.11,0.09,sit
9.93,2.24,-1.74,-10.34,17.82,-2.73,sit
9.89,1.8,-0.76,-0.4,4.08,-3.73,sit
9.56,2.49,-1.91,-3.52,-26.87,2.7,sit
9.94,2.62,-2.16,-5.53,-12.28,-0.31,sit
9.42,2,-1.31,-3.41,0.8,-3.99,sit
9.47,2.15,-1.33,-3.82,5.63,3.81,sit
9.87,2.17,-1.93,-0.64,10.43,0.95,sit
9.59,2.35,-1.38,-2.14,2.25,0.69,sit
9.82,2.29,-1.28,-1.21,-1.72,-2.24,sit
9.67,2.28,-1.54,-3.09,-0.35,1.57,sit
9.66,2.38,-1.72,-1.72,2.4,1.12,sit
10.01,2.05,-1.63,-4.15,12.31,-0.35,sit
8.32,2.51,-0.15,-2.15,4.78,-2.15,sit
9.76,2.36,-1.21,-4.19,-11.68,0.02,sit
9.3,2.79,-1.07,-7.22,-33.36,-8.47,sit
9.08,2.38,-2.09,14.11,-76.99,-10.49,sit
11.59,3.08,-5.3,14.52,-80.31,-0.49,sit
7.85,3.15,-3.97,-0.4,88.7,14.46,sit
8.95,3.06,-3.39,8.88,-0.01,-20.53,sit
7.86,3.04,-3.73,-7.11,-24.22,-16.35,sit
9.22,1.12,-2.16,-30.13,29.79,27.65,sit
8.58,2.31,-2.02,6.31,44.35,-15.47,sit
10.97,2.78,-2.16,9.23,35.26,4.26,sit
9.67,3.69,-0.7,-2.15,30.79,-2.69,sit
9.84,3.63,-0.51,-2.16,37.62,0.79,sit
8.73,2.91,0.24,2.71,19.67,-4.33,sit
9,2.73,0.47,8.7,3.41,-3.89,sit
9.6,3,0.04,9.21,-9.53,1.04,sit
9.22,3.52,0.32,-2.4,-4.58,0.99,sit
9.34,3.21,0.04,-10.39,-1.63,2.46,sit
9.21,3.11,-0.13,-6.97,9.53,2.24,sit
9.55,2.87,-0.37,2.03,-17.17,5.91,sit
9.26,2.74,0.09,0.4,-7.15,6.31,sit
9.26,3.06,-0.03,0.34,-7.96,6.13,sit
9.47,2.93,-0.01,-1.91,-3.92,0.86,sit
9.45,2.66,-0.17,-5.87,-1.48,0.14,sit
9.32,2.67,-0.08,-4.51,1.48,0.05,sit
9.53,2.65,-0.21,-1.85,-1.01,0.97,sit
9.58,2.63,0.04,-4.64,-0.4,0.37,sit
9.4,2.67,0.06,-2.33,-0.88,-0.23,sit
9.53,2.62,-0.16,-2.35,-0.95,0.25,sit
9.36,2.74,0.08,-2.54,-2.78,0.98,sit
9.39,2.81,-0.08,-1.08,-2.93,-0.09,sit
9.38,2.55,-0.13,-2.64,-2,-0.53,sit
9.41,2.75,-0.1,-2.39,-1.15,-0.46,sit
9.47,2.74,-0.07,-2.43,-0.98,-0.53,sit
9.37,2.63,-0.11,-2.79,-0.92,0.24,sit
2.39,-9.79,-1.47,11.18,28.63,-7.95,sit
2.55,-9.24,-1.03,1.41,13.87,9.92,sit
2.19,-9.58,-0.72,-6.36,0.89,6.07,sit
2.66,-10.13,0.81,-4.07,22.16,-19.11,sit
3.96,-9.41,-0.63,-3.1,2.18,-49.33,sit
2.12,-3.65,-0.26,3.89,-5.96,-134.02,sit
3.8,-4.59,-0.9,15.48,-49.15,-164.03,sit
10,-3.55,-0.9,28.78,-20.35,-154.02,sit
10.76,-2.58,-1.2,1.05,-9.79,-148.47,sit
13.38,0.01,-1.29,-1.25,-27.91,-123.29,sit
11.09,2.6,-1.23,-30.33,-14.58,-101.24,sit
16.46,5.22,-4.19,-9.57,-99.24,21.26,sit
9.86,2.52,-0.9,-31.56,42.41,7.01,sit
10.31,2.98,-1.73,-32.55,26.24,-15.31,sit
9.97,4.12,-0.73,13.5,53.16,-29.16,sit
5.46,4.68,-0.78,8.44,24.56,-53.44,sit
5.06,5.49,-1.6,6.92,-21.58,-19.95,sit
6.39,5.22,-2.01,9.18,-59.52,16.33,sit
7.8,5.68,-2.82,14.17,-80.05,64.24,sit
7.84,3.64,0.17,12.08,-60.84,36.9,sit
10.52,4.6,-2.96,25.63,-15,-36.43,sit
10.33,3.69,-4.59,4.9,-27.38,-8.77,sit
8.07,3.81,-3.8,-3.37,19.27,4.4,sit
9.35,2.52,-3.79,12.7,36.2,21.5,sit
10.31,2.62,-4.98,-13.55,-5,20.05,sit
8.93,3,-3.53,-8.12,6.63,-1.83,sit
9.31,3.27,-3.46,3.52,-6.41,-15.37,sit
10.4,3.04,-3.92,-1.03,-31.27,-12.34,sit
9.63,2.81,-3.27,-8.02,-0.4,-2.14,sit
9.08,3.09,-3.26,-0.14,8.18,6.19,sit
9.39,3.24,-3.53,1.61,0.35,-1.43,sit
9.38,3.08,-3.16,-0.6,-2.29,-0.56,sit
9.27,3,-3.3,-3.58,1.82,3.26,sit
9.47,2.91,-3.28,-1.47,8.25,7.3,sit
10.19,2.61,-2.77,-5.7,21.95,4.4,sit
8.58,2.91,-3.06,-0.11,7.22,1.89,sit
9.63,3.12,-3.17,-0.81,1.15,3.33,sit
9.47,3.06,-2.78,-2.96,-0.81,-2,sit
9.42,2.78,-2.85,-4.87,-6.65,-0.44,sit
9.22,2.77,-2.93,-3.64,-0.18,2.18,sit
9.18,2.86,-2.91,-2.11,-0.74,2.27,sit
9.42,2.93,-2.47,-0.77,1.59,4.32,sit
9.72,2.77,-2.75,-5.26,0.34,3.33,sit
9.43,2.6,-2.77,-6.96,-0.82,3.08,sit
9.5,2.8,-2.89,-6.82,-0.14,0.78,sit
9.51,2.61,-2.45,-3.69,3.66,3.64,sit
9.61,2.67,-2.59,-3.6,-1.77,2.63,sit
9.61,2.66,-2.6,-5.56,-1.31,1.48,sit
9.55,2.5,-2.66,-4.61,0.78,1.69,sit
9.7,2.55,-2.61,-1.98,-3,-0.45,sit
9.66,2.51,-2.58,-2.48,-1.02,-0.89,sit
9.57,2.64,-2.57,-1.88,-2.18,0.57,sit
9.56,2.61,-2.55,-3.03,-2.34,-0.13,sit
9.68,2.59,-2.63,-2.63,-1.45,-0.04,sit
9.56,2.5,-2.51,-2.13,-1.15,0.63,sit
9.64,2.6,-2.7,-2.11,-1.48,-0.02,sit
9.67,2.58,-2.45,-2.77,-0.79,1.08,sit
9.67,2.47,-2.59,-3.11,-2.34,1.66,sit
9.58,2.46,-2.6,-2.95,0.16,1.5,sit
10.03,2.33,-2.58,-1.03,3.85,8.02,sit
10.71,2.28,-2.78,-5.47,3.95,0.07,sit
9.89,2.88,-2.47,-7.86,2.92,-2.94,sit
9.56,2.82,-2.01,4.5,8.73,-23.65,sit
8.99,3.34,-1.75,0.08,6.41,-12.69,sit
8.93,2.52,-2.42,-15.43,2.99,15.34,sit
10.54,2.09,-2.57,-14.08,-17.92,7.74,sit
9.59,2.26,-1.54,-16.11,-27.15,8.92,sit
9.53,2.4,-1.8,0.69,-5.58,6.61,sit
8.89,2.38,-1.55,9.48,8.36,1.79,sit
8.69,2.57,-0.58,2,30.09,-2.23,sit
9.67,2.55,-1.14,0.5,-7.08,-3.21,sit
9.64,2.48,-1.58,0.95,-10.42,0.03,sit
9.49,2.42,-1.71,1.5,-7.49,-0.02,sit
9.76,2.43,-1.88,-3.79,-1.27,1.68,sit
9.66,2.36,-1.74,-4.15,3.63,0.25,sit
9.74,2.32,-1.67,-2.08,-0.85,0.05,sit
9.82,2.21,-1.66,-1.44,2.75,-0.15,sit
9.87,2.26,-1.66,-1.32,0.17,0.67,sit
9.58,2.47,-1.47,-2.16,-1.64,-0.97,sit
9.51,2.43,-1.61,-2.79,-1.02,-1.71,sit
9.43,2.43,-1.45,-2.51,0.4,-1.2,sit
9.69,2.37,-1.57,-0.41,-2.7,-0.92,sit
9.74,2.37,-1.62,-1.6,-1.95,0.68,sit
9.72,2.45,-1.53,-3.29,1.77,1.27,sit
9.84,2.35,-1.57,-3.16,0.21,1.4,sit
9.59,2.3,-1.44,-3.43,-8.78,-0.42,sit
10.16,2.34,-2.17,-10,-16.77,-5.76,sit
9.29,2.29,-2.61,-15.62,3.94,-1.12,sit
9.46,2.31,-1.02,0.17,-14.21,-2.44,sit
9.24,2.51,-2.29,-8.44,-16.41,-2.06,sit
9.09,3.01,-2.55,-4.4,3.47,-5.82,sit
9.89,2.92,-0.98,-4.4,45.22,3.97,sit
9.43,2.76,-0.96,-13.24,23.7,2.58,sit
8.81,2.55,-0.38,-8.56,11.27,-0.56,sit
10.07,2.39,-0.32,-2.47,21.06,-1.03,sit
9.62,2.59,-0.17,-3.21,-5.7,0.99,sit
2.82,-9.4,-1.95,-0.97,9.22,-14.09,sit
2.14,-9.81,-1.03,-3.21,5.34,6.97,sit
2.48,-9.73,-1.24,-5.01,22.69,-3.56,sit
3.47,-9.74,-1.05,-7.37,-2.82,-2.9,sit
2.48,-8.78,-1.42,-18.66,9.97,-25,sit
2.39,-4.94,-1.53,-30.72,1.92,-44.44,sit
1.35,-4.94,-1.77,-39.59,-49.48,-139.4,sit
8.13,-7.33,-3.92,-37.22,-158.99,-158.14,sit
11.95,-4.4,-6.59,-67.04,-12.29,-180.96,sit
12.05,-2.1,-7.2,-83.55,1.76,-133.85,sit
12.49,0.42,-9.01,-107.37,-46.66,-109.09,sit
11.17,4.33,-12.19,-35.63,-33.03,-4.5,sit
5.49,2.87,-4.91,-71.11,45.92,-21.36,sit
6.82,2.95,-5.39,-109.66,48.61,-23.96,sit
10.98,6.25,-8.18,33.34,-17.31,-48.93,sit
6.62,7.07,-1.85,-17.15,118.6,-9.73,sit
4.4,5.87,-3.47,-5.11,90.92,-15.48,sit
4.23,6.11,-0.36,15.67,25.33,59.72,sit
8.09,4.95,-2.2,42.63,-16.89,128.06,sit
11.07,2.07,-0.16,37.28,42.73,128.9,sit
8.67,1.43,2.37,2.15,31.06,32.68,sit
10.61,0.45,-1.46,-6.84,-42.97,-17.69,sit
10.14,0.84,-2.34,12.49,-38.83,-12.34,sit
10.33,1.02,-1.71,-4.37,5.48,11.47,sit
10.3,0.88,-2.1,-7.79,-8.8,4.08,sit
9.95,1.02,-2.57,5.43,-8.47,-0.93,sit
9.62,1.43,-2.58,6.52,-15.31,-0.51,sit
10.24,1.73,-2.79,-2.59,1.2,-1.21,sit
9.79,1.14,-2.13,-5.32,6.95,-2.87,sit
9.92,1.28,-2.29,-3.79,-0.85,0.38,sit
9.68,0.94,-2.32,0.27,2.92,0.18,sit
10.07,1.15,-2.53,3.6,4.02,1.95,sit
9.75,1.63,-2.39,2.24,-3.69,-2.16,sit
9.75,1.52,-2.24,-3.04,-2.59,-1.31,sit
10.06,1.48,-2.16,-4.23,1.79,-2.31,sit
9.9,1.37,-2.22,-3.22,0.24,-0.73,sit
10,1.38,-2.15,-3.15,0.52,0.24,sit
9.91,1.53,-2.2,-3.8,-2.61,0.27,sit
9.89,1.5,-2.14,-5.44,-1.18,0.26,sit
9.84,1.3,-2.01,-6.18,2.45,2.18,sit
9.84,1.33,-2.13,-3.38,-0.02,1.36,sit
9.85,1.26,-2.15,-3.27,-0.77,2.02,sit
9.66,1.31,-1.92,-3.1,0.53,2.53,sit
9.79,1.18,-2.03,-3.69,-0.56,0.87,sit
9.87,1.27,-2.09,-3.84,-1.01,0.82,sit
9.9,1.13,-1.95,-2.11,1.13,0.92,sit
9.62,0.59,-2.12,0.65,-0.77,11.27,sit
9.97,1.31,-1.84,-1.39,2.48,4.5,sit
10.03,1.32,-1.99,-3.53,-0.24,-5,sit
10.05,1.03,-1.85,-6.49,7.18,-4.34,sit
9.95,1.3,-1.74,-6.73,13.79,-2.19,sit
9.7,1.13,-1.88,-3.45,-1.92,-2.13,sit
9.86,1.24,-1.84,1.51,-4.45,-2.63,sit
10.02,1.41,-1.67,4.75,-8.42,-4.83,sit
9.99,1.58,-1.62,-1.27,-4.24,-2.47,sit
10.08,1.68,-1.71,-5.72,0.08,-0.89,sit
10.11,1.64,-1.82,-5.27,-1.17,-1.4,sit
9.99,1.43,-1.98,-2.11,-4.5,-2.24,sit
9.83,1.56,-1.81,-0.27,-3.56,-0.18,sit
9.9,1.69,-1.7,-3.31,-0.81,1.6,sit
9.7,1.41,-1.86,-4.28,-0.13,-0.23,sit
10.65,1.76,-2.51,-9.49,-8.63,6.6,sit
9.56,1.08,-0.96,-2.76,18.85,-2.35,sit
10.52,1.35,-1.82,-7.57,17.83,-2.18,sit
10.18,1.24,-1.45,-10.19,19.05,4.6,sit
10.11,1.25,-1.06,-2.92,-2.3,-2.5,sit
10.06,1.62,-0.56,-3.96,-6.82,1.52,sit
9.34,2.07,-0.58,-1.65,-10.15,-8.6,sit
10.36,2,-0.96,5.06,4.54,-18.31,sit
9.83,1.75,-0.69,6.71,13.28,-15.13,sit
8.57,2.57,-0.73,8.45,12.77,-0.82,sit
9.4,2.26,-1.1,2.11,-11.19,2.24,sit
9.85,1.82,-1.09,2.86,-10.42,11.75,sit
10.7,1.93,-1.48,-7.98,2.85,-2.25,sit
9.76,1.85,-0.63,-7.79,-14.74,-1.79,sit
9.52,2.2,-1.36,-1.72,-10.63,-1.68,sit
9.71,2.22,-1.56,-0.3,-10.67,-3.15,sit
9.59,2.22,-1.54,-7.84,-8.4,-1.69,sit
9.43,1.99,-1.05,-8.5,10.84,-0.43,sit
9.69,1.87,-1.35,-1.91,-0.27,-0.43,sit
9.62,2.14,-1.39,-1.26,-2.02,1.98,sit
9.46,1.96,-1.37,-1.6,1.02,1.88,sit
9.72,1.92,-1.31,-2.11,1.72,2.1,sit
9.94,2.09,-1.48,-5.25,-0.63,3.21,sit
